Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance (in KM)
36.0,4.2,Fog,Jam,2,motorcycle,3.0,No,Metropolitian,46,10.27146402322994
21.0,4.7,Stormy,High,1,motorcycle,1.0,No,Metropolitian,23,6.229376076976667
23.0,4.7,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,21,13.764305929575334
34.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,20,2.9277947281095997
24.0,4.7,Fog,Jam,1,scooter,1.0,No,Metropolitian,41,19.37348408863585
29.0,4.5,Sandstorms,Jam,2,electric_scooter,1.0,No,Metropolitian,20,13.740932234405253
35.0,4.0,Windy,High,1,scooter,1.0,No,Metropolitian,33,6.205589948340002
33.0,4.2,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,40,16.821191645783845
34.0,4.9,Cloudy,Jam,0,motorcycle,,No,Metropolitian,41,10.738078032534037
21.0,4.7,Windy,Jam,0,motorcycle,1.0,No,Urban,15,4.533895591762387
25.0,4.1,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,36,12.23513612361146
31.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,26,19.590994221235338
37.0,5.0,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,20,1.554950180979803
33.0,4.3,Windy,Jam,2,scooter,1.0,No,Metropolitian,39,20.140905255245308
25.0,4.0,Cloudy,High,1,motorcycle,1.0,No,Metropolitian,34,6.106736943461254
29.0,4.5,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,15,17.04198395713032
27.0,5.0,Stormy,Jam,0,motorcycle,0.0,No,Urban,18,4.4650683810240395
35.0,4.3,Cloudy,Low,1,scooter,0.0,No,Metropolitian,38,13.66073757837138
32.0,4.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,47,13.94563444308926
23.0,4.8,Windy,Low,2,electric_scooter,0.0,No,Urban,12,16.82479191121949
31.0,4.8,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,26,4.664630782215899
36.0,4.1,Stormy,Low,0,motorcycle,1.0,No,Urban,22,7.589769422472331
26.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Urban,21,7.705941974795929
38.0,4.9,Cloudy,High,1,scooter,1.0,No,Urban,25,6.164143763345328
32.0,3.5,Stormy,Jam,1,scooter,0.0,No,Urban,35,17.259376716936664
32.0,4.6,Cloudy,Low,2,scooter,1.0,No,Metropolitian,30,19.8806889061088
33.0,4.9,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,22,10.706184356730288
20.0,4.7,Windy,High,1,scooter,0.0,No,Urban,10,6.117369061558013
20.0,4.8,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,19,1.51798712661804
35.0,5.0,Sunny,Low,2,scooter,1.0,No,Urban,11,3.06801652533814
26.0,4.9,Stormy,Low,2,scooter,0.0,No,Metropolitian,11,3.0990100939446292
22.0,4.8,Fog,Low,1,motorcycle,1.0,No,Metropolitian,28,10.846013590626095
35.0,4.3,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,33,10.844094035055107
,,Cloudy,Medium,1,scooter,1.0,No,Metropolitian,33,12.216194933465744
37.0,4.7,Sandstorms,Jam,0,motorcycle,3.0,No,Metropolitian,52,13.661199383826538
28.0,4.6,Stormy,Jam,1,scooter,1.0,No,Metropolitian,22,16.79799879130621
37.0,4.9,Fog,Low,1,scooter,1.0,No,Urban,16,3.0227804656534882
23.0,4.9,Sunny,Jam,2,electric_scooter,0.0,No,Metropolitian,11,9.1598473686937
27.0,4.9,Windy,Medium,1,scooter,1.0,No,Metropolitian,25,9.296712100181105
37.0,4.8,Cloudy,Medium,0,motorcycle,1.0,No,Urban,26,6.196805343667927
33.0,5.0,Sunny,High,2,scooter,1.0,No,Metropolitian,18,1.5179748068733323
31.0,4.9,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,16,6.028674005255561
31.0,4.8,Stormy,Low,2,scooter,1.0,No,Metropolitian,23,17.044988256333504
25.0,5.0,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,15,4.707104052532131
28.0,4.8,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,36,12.43888855192116
31.0,4.7,Cloudy,Low,2,motorcycle,0.0,No,Metropolitian,16,9.107220024938373
24.0,4.7,Sunny,Medium,0,motorcycle,0.0,No,Urban,19,13.994592406584347
39.0,4.6,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,27,13.377332859549806
39.0,4.2,Fog,Jam,2,scooter,1.0,No,Semi-Urban,49,12.552275755914394
32.0,4.5,Windy,Low,2,scooter,0.0,No,,20,1.4881912567305338
36.0,4.7,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,30,9.414207472710387
25.0,4.8,Sandstorms,Low,1,scooter,0.0,No,Urban,18,11.902753837483976
33.0,4.9,Sunny,Jam,2,scooter,0.0,No,Metropolitian,22,4.654256824131882
30.0,4.4,Cloudy,Low,2,scooter,1.0,No,Metropolitian,34,10.624594799022988
33.0,5.0,Sandstorms,Low,0,motorcycle,0.0,No,Urban,24,16.790293751513897
36.0,4.9,Fog,Medium,2,scooter,1.0,No,Metropolitian,17,6.118069582492733
