Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance (in KM)
35.0,4.6,Windy,Medium,1,scooter,1.0,No,Metropolitian,26,10.983241696284244
38.0,4.7,Sandstorms,High,2,motorcycle,1.0,No,Metropolitian,29,6.028567025412911
36.0,4.8,Stormy,Low,2,electric_scooter,0.0,No,Urban,17,19.940715990099818
27.0,5.0,Stormy,Medium,2,motorcycle,0.0,No,Metropolitian,24,6.042266599295314
38.0,4.7,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,46,13.60206655100396
29.0,4.4,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,16,1.5273046056475248
36.0,4.7,Windy,Low,1,motorcycle,1.0,No,Metropolitian,19,20.14291139576411
28.0,4.6,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,18,3.014385561380863
23.0,4.2,Fog,Medium,2,scooter,1.0,No,Metropolitian,36,11.891344319799
38.0,4.9,Windy,Jam,2,scooter,1.0,No,Metropolitian,29,8.976640414599844
,,Stormy,Jam,1,scooter,1.0,No,Metropolitian,31,7.746447000058103
28.0,4.1,Fog,Jam,2,scooter,2.0,No,Metropolitian,40,19.073812814359304
38.0,4.8,Sunny,Medium,2,scooter,0.0,No,Urban,28,10.788243082110846
36.0,4.2,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,33,9.177287951627445
34.0,4.7,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,28,9.308437783690072
20.0,5.0,Windy,Low,2,electric_scooter,0.0,No,Metropolitian,16,9.29655518178771
33.0,4.7,Sunny,Jam,1,scooter,0.0,No,Metropolitian,26,16.365355795019745
34.0,5.0,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,18,1.5072987935606605
28.0,4.5,Sunny,Medium,1,scooter,0.0,No,Metropolitian,15,9.344169191187254
20.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,20,1.5072182814137156
36.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,29,13.750484667228939
30.0,4.8,Windy,Medium,1,scooter,1.0,No,Metropolitian,25,10.550164239141058
22.0,4.1,Sandstorms,Medium,0,motorcycle,0.0,No,Urban,38,16.796129650059807
32.0,4.9,Fog,Medium,2,scooter,1.0,No,Urban,17,4.648172911966466
,,Stormy,Jam,2,scooter,1.0,No,Metropolitian,35,11.902753837483976
25.0,4.8,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,19,1.527413882635404
31.0,4.8,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,30,3.109884187956252
20.0,4.9,Stormy,Jam,1,scooter,1.0,No,Metropolitian,25,19.731607539122006
23.0,4.6,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,33,19.938928010566755
37.0,4.7,Stormy,Low,2,scooter,1.0,No,Metropolitian,23,1.5077829707997517
35.0,4.9,Stormy,Low,2,scooter,0.0,No,Urban,23,3.0146295375208254
39.0,4.8,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,31,4.58857790572759
20.0,4.8,Cloudy,High,1,scooter,1.0,No,Metropolitian,22,2.9761321419028017
,,,,0,motorcycle,1.0,No,Metropolitian,39,10.884860872661774
